date,매출액,영업이익,당기순이익,자산,부채,자본,유동비율,부채비율,영업이익률,ROA,ROIC,PER,PSR,PCR,PBR,총현금흐름,종목코드,종목명,ROE
2021/12,2796048.0,516339.0,399075.0,4266212.0,1217212.0,3048999.0,247.6,39.9,18.5,9.9,23.9,13.55,1.90,7.24,1.80,728698,A086790.KS,하나금융지주,13.088721905123615
2022/12,3022314.0,433766.0,556541.0,4484245.0,936749.0,3547496.0,278.9,26.4,14.4,12.7,25.9,6.86,1.24,4.00,1.09,910900,A086790.KS,하나금융지주,15.688277026950843
2023/12,2589355.0,65670.0,154871.0,4559060.0,922281.0,3636779.0,258.8,25.4,2.5,3.4,3.8,36.84,2.06,10.03,1.51,479071,A086790.KS,하나금융지주,4.258466076712388
2024/03,719156.0,66060.0,67547.0,4708998.0,989837.0,3719161.0,255.0,26.6,9.2,5.8,8.7,,,,1.54,157408,A086790.KS,하나금융지주,1.8161891889057775
2020/12,,,,,,,262.2,37.1,15.2,7.2,17.2,21.09,2.32,9.75,2.06,564882,A032830.KS,삼성생명,
2021/12,2796048.0,516339.0,399075.0,4266212.0,1217212.0,3048999.0,247.6,39.9,18.5,9.9,23.9,13.55,1.90,7.24,1.80,728698,A032830.KS,삼성생명,13.088721905123615
2022/12,3022314.0,433766.0,556541.0,4484245.0,936749.0,3547496.0,278.9,26.4,14.4,12.7,25.9,6.86,1.24,4.00,1.09,910900,A032830.KS,삼성생명,15.688277026950843
2023/12,2589355.0,65670.0,154871.0,4559060.0,922281.0,3636779.0,258.8,25.4,2.5,3.4,3.8,36.84,2.06,10.03,1.51,479071,A032830.KS,삼성생명,4.258466076712388
2024/03,719156.0,66060.0,67547.0,4708998.0,989837.0,3719161.0,255.0,26.6,9.2,5.8,8.7,,,,1.54,157408,A032830.KS,삼성생명,1.8161891889057775
2020/12,,,,,,,262.2,37.1,15.2,7.2,17.2,21.09,2.32,9.75,2.06,564882,A035720.KS,카카오,
2021/12,2796048.0,516339.0,399075.0,4266212.0,1217212.0,3048999.0,247.6,39.9,18.5,9.9,23.9,13.55,1.90,7.24,1.80,728698,A035720.KS,카카오,13.088721905123615
2022/12,3022314.0,433766.0,556541.0,4484245.0,936749.0,3547496.0,278.9,26.4,14.4,12.7,25.9,6.86,1.24,4.00,1.09,910900,A035720.KS,카카오,15.688277026950843
2023/12,2589355.0,65670.0,154871.0,4559060.0,922281.0,3636779.0,258.8,25.4,2.5,3.4,3.8,36.84,2.06,10.03,1.51,479071,A035720.KS,카카오,4.258466076712388
2024/03,719156.0,66060.0,67547.0,4708998.0,989837.0,3719161.0,255.0,26.6,9.2,5.8,8.7,,,,1.54,157408,A035720.KS,카카오,1.8161891889057775
2020/12,,,,,,,262.2,37.1,15.2,7.2,17.2,21.09,2.32,9.75,2.06,564882,A000810.KS,삼성화재,
2021/12,2796048.0,516339.0,399075.0,4266212.0,1217212.0,3048999.0,247.6,39.9,18.5,9.9,23.9,13.55,1.90,7.24,1.80,728698,A000810.KS,삼성화재,13.088721905123615
2022/12,3022314.0,433766.0,556541.0,4484245.0,936749.0,3547496.0,278.9,26.4,14.4,12.7,25.9,6.86,1.24,4.00,1.09,910900,A000810.KS,삼성화재,15.688277026950843
2023/12,2589355.0,65670.0,154871.0,4559060.0,922281.0,3636779.0,258.8,25.4,2.5,3.4,3.8,36.84,2.06,10.03,1.51,479071,A000810.KS,삼성화재,4.258466076712388
2024/03,719156.0,66060.0,67547.0,4708998.0,989837.0,3719161.0,255.0,26.6,9.2,5.8,8.7,,,,1.54,157408,A000810.KS,삼성화재,1.8161891889057775
2020/12,,,,,,,262.2,37.1,15.2,7.2,17.2,21.09,2.32,9.75,2.06,564882,A003670.KS,포스코퓨처엠,
2021/12,2796048.0,516339.0,399075.0,4266212.0,1217212.0,3048999.0,247.6,39.9,18.5,9.9,23.9,13.55,1.90,7.24,1.80,728698,A003670.KS,포스코퓨처엠,13.088721905123615
2022/12,3022314.0,433766.0,556541.0,4484245.0,936749.0,3547496.0,278.9,26.4,14.4,12.7,25.9,6.86,1.24,4.00,1.09,910900,A003670.KS,포스코퓨처엠,15.688277026950843
2023/12,2589355.0,65670.0,154871.0,4559060.0,922281.0,3636779.0,258.8,25.4,2.5,3.4,3.8,36.84,2.06,10.03,1.51,479071,A003670.KS,포스코퓨처엠,4.258466076712388
2024/03,719156.0,66060.0,67547.0,4708998.0,989837.0,3719161.0,255.0,26.6,9.2,5.8,8.7,,,,1.54,157408,A003670.KS,포스코퓨처엠,1.8161891889057775
2020/12,,,,,,,262.2,37.1,15.2,7.2,17.2,21.09,2.32,9.75,2.06,564882,A066570.KS,LG전자,
2021/12,2796048.0,516339.0,399075.0,4266212.0,1217212.0,3048999.0,247.6,39.9,18.5,9.9,23.9,13.55,1.90,7.24,1.80,728698,A066570.KS,LG전자,13.088721905123615
2022/12,3022314.0,433766.0,556541.0,4484245.0,936749.0,3547496.0,278.9,26.4,14.4,12.7,25.9,6.86,1.24,4.00,1.09,910900,A066570.KS,LG전자,15.688277026950843
2023/12,2589355.0,65670.0,154871.0,4559060.0,922281.0,3636779.0,258.8,25.4,2.5,3.4,3.8,36.84,2.06,10.03,1.51,479071,A066570.KS,LG전자,4.258466076712388
2024/03,719156.0,66060.0,67547.0,4708998.0,989837.0,3719161.0,255.0,26.6,9.2,5.8,8.7,,,,1.54,157408,A066570.KS,LG전자,1.8161891889057775
2020/12,,,,,,,262.2,37.1,15.2,7.2,17.2,21.09,2.32,9.75,2.06,564882,A138040.KS,메리츠금융지주,
2021/12,2796048.0,516339.0,399075.0,4266212.0,1217212.0,3048999.0,247.6,39.9,18.5,9.9,23.9,13.55,1.90,7.24,1.80,728698,A138040.KS,메리츠금융지주,13.088721905123615
2022/12,3022314.0,433766.0,556541.0,4484245.0,936749.0,3547496.0,278.9,26.4,14.4,12.7,25.9,6.86,1.24,4.00,1.09,910900,A138040.KS,메리츠금융지주,15.688277026950843
2023/12,2589355.0,65670.0,154871.0,4559060.0,922281.0,3636779.0,258.8,25.4,2.5,3.4,3.8,36.84,2.06,10.03,1.51,479071,A138040.KS,메리츠금융지주,4.258466076712388
2024/03,719156.0,66060.0,67547.0,4708998.0,989837.0,3719161.0,255.0,26.6,9.2,5.8,8.7,,,,1.54,157408,A138040.KS,메리츠금융지주,1.8161891889057775
2020/12,,,,,,,262.2,37.1,15.2,7.2,17.2,21.09,2.32,9.75,2.06,564882,A012450.KS,한화에어로스페이스,
2021/12,2796048.0,516339.0,399075.0,4266212.0,1217212.0,3048999.0,247.6,39.9,18.5,9.9,23.9,13.55,1.90,7.24,1.80,728698,A012450.KS,한화에어로스페이스,13.088721905123615
2022/12,3022314.0,433766.0,556541.0,4484245.0,936749.0,3547496.0,278.9,26.4,14.4,12.7,25.9,6.86,1.24,4.00,1.09,910900,A012450.KS,한화에어로스페이스,15.688277026950843
2023/12,2589355.0,65670.0,154871.0,4559060.0,922281.0,3636779.0,258.8,25.4,2.5,3.4,3.8,36.84,2.06,10.03,1.51,479071,A012450.KS,한화에어로스페이스,4.258466076712388
2024/03,719156.0,66060.0,67547.0,4708998.0,989837.0,3719161.0,255.0,26.6,9.2,5.8,8.7,,,,1.54,157408,A012450.KS,한화에어로스페이스,1.8161891889057775
2020/12,,,,,,,262.2,37.1,15.2,7.2,17.2,21.09,2.32,9.75,2.06,564882,A009540.KS,HD한국조선해양,
2021/12,2796048.0,516339.0,399075.0,4266212.0,1217212.0,3048999.0,247.6,39.9,18.5,9.9,23.9,13.55,1.90,7.24,1.80,728698,A009540.KS,HD한국조선해양,13.088721905123615
